1PDSINFDD,20240426,15:43:20,ANDREWJ ,00000024,      ,20240426,000024,01.00.00,ANDREWJ.SOURCE.JCL,
 PDSINFDD,20240426,15:43:03,ANDREWJ ,00000710,      ,20240426,000710,01.01.00,ANDREWJ.SOURCE.ASM,
 PDSINFDD,20240426,15:33:03,        ,00000DF0,002C0C,0:A31R24,      ,        ,ANDREWJ.SOURCE.LMD,
 SMFTUNE ,20240419,14:00:45,ANDREWJ ,00000233,      ,20240419,000233,01.00.00,ANDREWJ.SOURCE.ASM,
 SMFDUMP ,20240419,13:58:30,ANDREWJ ,00000156,      ,20240419,000156,01.00.00,ANDREWJ.SOURCE.ASM,
 HFSDIRD ,20240409,16:18:43,ANDREWJ ,00000592,      ,20240409,000592,01.00.00,ANDREWJ.SOURCE.ASM,
 ASMALCS ,20240322,13:48:03,ANDREWJ ,00000024,      ,20040115,000012,01.15.00,ANDREWJ.SOURCE.JCL,
 ASMACLOG,20240318,17:29:35,ANDREWJ ,00000011,      ,20240318,000021,01.01.00,ANDREWJ.SOURCE.JCL,
 IPCSGTF ,20240313,15:47:06,ANDREWJ ,00000017,      ,20240313,000017,01.01.00,ANDREWJ.SOURCE.JCL,
 RMF3CPU ,20240307,15:34:42,ANDREWJ ,00000071,      ,20130815,000009,01.05.00,ANDREWJ.SOURCE.JCL,
 ZIPLOGA ,20240307,10:46:12,ANDREWJ ,00000380,      ,20110110,000378,01.03.00,ANDREWJ.SOURCE.JCL,
 ZIP     ,20240307,10:38:25,        ,000786E8,002220,0:A31ANY,      ,        ,ANDREWJ.SOURCE.LMD,
 HTTPSCNW,20240306,21:02:53,ANDREWJ ,00000326,      ,20240306,000326,01.01.00,ANDREWJ.SOURCE.EXEC,
 JVMCL86 ,20240306,09:54:23,ANDREWJ ,00000048,      ,20240305,000048,01.01.00,ANDREWJ.SOURCE.JCL,
 HTTPSCNW,20240305,15:51:00,ANDREWJ ,00000563,      ,20240305,000563,01.00.00,ANDREWJ.SOURCE.ASM,
 JAVAC   ,20240305,14:45:45,ANDREWJ ,00000016,      ,20240305,000016,01.01.00,ANDREWJ.SOURCE.JCL,
 RFSTCFTP,20240229,16:21:31,ANDREWJ ,00000011,      ,20240229,000011,01.00.00,ANDREWJ.SOURCE.JCL,
 IEA793A ,20240222,12:05:04,ANDREWJ ,00000155,      ,20240222,000155,01.00.00,ANDREWJ.SOURCE.ASM,
 DSI813A ,20240222,11:25:15,ANDREWJ ,00000155,      ,20240222,000155,01.01.00,ANDREWJ.SOURCE.ASM,
 COMPRESS,20240222,11:17:36,ANDREWJ ,00000011,      ,20030407,000011,01.05.00,ANDREWJ.SOURCE.JCL,
 DBDELPGM,20240221,15:27:09,ANDREWJ ,00000327,      ,20240221,000327,01.00.00,ANDREWJ.SOURCE.JCL,
 RECATPGM,20240221,15:26:09,ANDREWJ ,00000654,      ,20240221,000654,01.00.00,ANDREWJ.SOURCE.JCL,
 DSKINT9 ,20240221,13:50:46,ANDREWJ ,00000006,      ,20240221,000006,01.00.00,ANDREWJ.SOURCE.JCL,
 ICH3024T,20240220,18:26:21,ANDREWJ ,00000162,      ,20240216,000142,01.02.00,ANDREWJ.SOURCE.ASM,
 MGCREICH,20240220,15:58:28,ANDREWJ ,00000144,      ,20240220,000144,01.00.00,ANDREWJ.SOURCE.ASM,
 ICH3024D,20240220,15:31:25,ANDREWJ ,00000155,      ,20240217,000149,01.02.00,ANDREWJ.SOURCE.ASM,
 $ACC54  ,20200525,18:02:56,ANDREWJ ,00000020,      ,20200525,000020,01.00.00,ANDREWJ.SOURCE.JCL,
 $APP54  ,20200525,17:43:06,ANDREWJ ,00000020,      ,20200525,000020,01.00.00,ANDREWJ.SOURCE.JCL,
 COMPARE ,20200514,10:11:51,ANDREWJ ,00000021,      ,20030821,000010,01.59.00,ANDREWJ.SOURCE.JCL,
 IASXWR00,20200424,13:52:07,ANDREWJ ,00000008,      ,20031203,000003,01.16.00,ANDREWJ.SOURCE.JCL,
 $ACC53  ,20200424,12:28:56,ANDREWJ ,00000019,      ,20200424,000019,01.00.00,ANDREWJ.SOURCE.JCL,
 $APP53  ,20200424,11:46:33,ANDREWJ ,00000019,      ,20200424,000019,01.00.00,ANDREWJ.SOURCE.JCL,
 $RECPTF ,20200424,11:08:36,ANDREWJ ,00000011,      ,20200424,000011,01.00.00,ANDREWJ.SOURCE.JCL,
 UNTRSPTF,20200424,11:01:24,ANDREWJ ,00000011,      ,20200424,000011,01.00.00,ANDREWJ.SOURCE.JCL,
 DELNVR  ,20200423,18:10:07,ANDREWJ ,00000038,      ,20040224,000009,01.03.00,ANDREWJ.SOURCE.JCL,
 $DELFUNC,20200421,14:17:58,ANDREWJ ,00000036,      ,20200420,000051,01.01.00,ANDREWJ.SOURCE.JCL,
 DELFUNC ,20200420,16:08:28,ANDREWJ ,00000003,      ,20200420,000003,01.00.00,ANDREWJ.SOURCE.JCL,
 REFORMAT,20200420,15:22:31,ANDREWJ ,00000007,      ,20061127,000007,01.03.00,ANDREWJ.SOURCE.JCL,
 TEST1   ,20200415,13:50:46,ANDREWJ ,00000004,      ,20200415,000004,01.00.00,ANDREWJ.SOURCE.JCL,
 DUMP    ,20190413,12:21:43,ANDREWJ ,00000021,      ,20061208,000015,01.04.00,ANDREWJ.SOURCE.JCL,
 LISTCFMR,20190413,10:22:19,ANDREWJ ,00000153,      ,20190413,000143,01.07.00,ANDREWJ.SOURCE.EXEC,
 IASXWR01,20190413,00:01:29,ANDREWJ ,00000008,      ,20031203,000003,01.12.00,ANDREWJ.SOURCE.JCL,
 LISTCFMT,20190412,12:31:30,ANDREWJ ,00000137,      ,20190403,000145,01.01.00,ANDREWJ.SOURCE.EXEC,
 DEFENTRY,20190410,16:18:35,ANDREWJ ,00000010,      ,20190410,000010,01.00.00,ANDREWJ.SOURCE.JCL,
 RESTORE1,20190410,16:06:45,ANDREWJ ,00000012,      ,20061208,000012,01.02.00,ANDREWJ.SOURCE.JCL,
 UNTERSE ,20190410,16:05:18,ANDREWJ ,00000010,      ,20070410,000010,01.04.00,ANDREWJ.SOURCE.JCL,
 DELENTRY,20190410,16:03:39,ANDREWJ ,00000006,      ,20190410,001647,01.01.00,ANDREWJ.SOURCE.JCL,
 ALIASMPE,20190410,14:51:01,ANDREWJ ,00000006,      ,20190410,000006,01.00.00,ANDREWJ.SOURCE.JCL,
 IMPORTCN,20190410,14:49:05,ANDREWJ ,00000012,      ,20190410,000012,01.04.00,ANDREWJ.SOURCE.JCL,
 EXPORTDS,20190410,14:41:26,ANDREWJ ,00000009,      ,20190410,000009,01.03.00,ANDREWJ.SOURCE.JCL,
 ALIASPP ,20190410,14:40:52,ANDREWJ ,00000033,      ,20190410,000033,01.00.00,ANDREWJ.SOURCE.JCL,
 ALIABASE,20190410,14:23:22,ANDREWJ ,00000037,      ,20190410,000037,01.01.00,ANDREWJ.SOURCE.JCL,
 DEFALIAS,20190410,14:10:52,ANDREWJ ,00000012,      ,20030319,000008,01.06.00,ANDREWJ.SOURCE.JCL,
 LISTC   ,20190410,14:06:28,ANDREWJ ,00000005,      ,20190410,000005,01.01.00,ANDREWJ.SOURCE.JCL,
 ITWSUP1D,20190410,11:20:19,ANDREWJ ,00000024,      ,20190410,000023,01.01.00,ANDREWJ.SOURCE.JCL,
 ITWSUP1R,20190410,11:13:45,ANDREWJ ,00000023,      ,20190410,000023,01.00.00,ANDREWJ.SOURCE.JCL,
 Z2MSTARE,20190410,11:12:12,ANDREWJ ,00001545,      ,20190410,001545,01.00.00,ANDREWJ.SOURCE.JCL,
 ITWSUP01,20190410,10:53:15,ANDREWJ ,00000023,      ,20190409,000011,01.06.00,ANDREWJ.SOURCE.JCL,
 IEBCPYSM,20190409,15:54:45,ANDREWJ ,00000012,      ,20090311,000038,01.03.00,ANDREWJ.SOURCE.JCL,
 VVDSREAD,20190409,13:53:00,ANDREWJ ,00000007,      ,20190405,000007,01.01.00,ANDREWJ.SOURCE.JCL,
 DEFMCAT ,20190409,13:43:52,ANDREWJ ,00000029,      ,20190409,000029,01.00.00,ANDREWJ.SOURCE.JCL,
 ALIASDEF,20190405,18:04:36,ANDREWJ ,00000008,      ,20190405,000008,01.00.00,ANDREWJ.SOURCE.JCL,
 MERGCATO,20190405,18:02:45,ANDREWJ ,00000014,      ,20190405,000014,01.01.00,ANDREWJ.SOURCE.JCL,
 UCATDEF ,20190405,17:59:48,ANDREWJ ,00000021,      ,20190405,000021,01.00.00,ANDREWJ.SOURCE.JCL,
 VVDSFIX1,20190405,17:26:37,ANDREWJ ,00000007,      ,20190405,000007,01.00.00,ANDREWJ.SOURCE.JCL,
 DIAGVVDS,20190405,17:17:42,ANDREWJ ,00000010,      ,20190405,000010,01.00.00,ANDREWJ.SOURCE.JCL,
 ZALCS1  ,20180727,10:04:03,ANDREWJ ,00000006,      ,20180528,000006,01.40.00,ANDREWJ.SOURCE.JCL,
 SORTTERS,20180727,10:03:51,ANDREWJ ,00000020,      ,20180725,000023,01.08.00,ANDREWJ.SOURCE.JCL,
 VOLTERSE,20180725,13:50:00,ANDREWJ ,00000018,      ,20180724,000018,01.02.00,ANDREWJ.SOURCE.JCL,
 TERSEVOL,20180724,10:43:12,ANDREWJ ,00000010,      ,20180723,000010,01.01.00,ANDREWJ.SOURCE.JCL,
 DUMPVOL ,20180724,10:41:57,ANDREWJ ,00000009,      ,20140213,000009,01.23.00,ANDREWJ.SOURCE.JCL,
 FTPBIN  ,20180723,17:01:42,ANDREWJ ,00000014,      ,20180619,000014,01.01.00,ANDREWJ.SOURCE.JCL,
 PIJMPARS,20180712,11:29:35,ANDREWJ ,00000012,      ,20180702,000012,01.06.00,ANDREWJ.SOURCE.JCL,
 USRRSPEX,20180712,11:27:53,ANDREWJ ,00000056,      ,20140924,000048,01.99.00,ANDREWJ.SOURCE.JCL,
 ZIPRSP  ,20180710,13:01:49,ANDREWJ ,00000025,      ,20130828,000021,01.48.00,ANDREWJ.SOURCE.JCL,
 ZALCS   ,20180710,10:13:33,ANDREWJ ,00000077,      ,20180612,000065,01.03.00,ANDREWJ.SOURCE.EXEC,
 ZIP     ,20180704,14:26:28,ANDREWJ ,00000015,      ,20030407,000015,01.72.00,ANDREWJ.SOURCE.JCL,
 TRANSTAT,20180704,10:58:55,ANDREWJ ,00000009,      ,20130709,000011,01.17.00,ANDREWJ.SOURCE.JCL,
 DITOTLB ,20180704,10:04:06,ANDREWJ ,00000010,      ,20090601,000010,01.15.00,ANDREWJ.SOURCE.JCL,
 HSRF03  ,20180703,10:29:51,ANDREWJ ,00000181,      ,20180703,000181,01.00.00,ANDREWJ.SOURCE.JCL,
 USRCONSO,20180703,10:27:56,ANDREWJ ,00000122,      ,20180611,000140,01.05.00,ANDREWJ.SOURCE.EXEC,
 EDCCBGN ,20180702,13:18:19,ANDREWJ ,00000016,      ,20180622,000013,01.09.00,ANDREWJ.SOURCE.JCL,
 ZIPRCP  ,20180702,10:06:22,ANDREWJ ,00000024,      ,20100924,000017,01.65.00,ANDREWJ.SOURCE.JCL,
 FREESP  ,20180702,09:51:08,ANDREWJ ,00000217,      ,20080829,000187,01.99.00,ANDREWJ.SOURCE.ASM,
 ZBKUP   ,20180702,09:50:42,ANDREWJ ,00000217,      ,20080924,000221,01.74.00,ANDREWJ.SOURCE.ASM,
 POOLERM ,20180702,09:48:16,ANDREWJ ,00000173,      ,20090316,000163,01.99.00,ANDREWJ.SOURCE.EXEC,
 SORT    ,20180629,18:36:59,ANDREWJ ,00000077,      ,20030917,000014,01.45.00,ANDREWJ.SOURCE.JCL,
 EDCCBG  ,20180622,15:08:19,ANDREWJ ,00000007,      ,20180622,000005,01.01.00,ANDREWJ.SOURCE.JCL,
 TESTTIME,20180622,11:39:28,ANDREWJ ,00000024,      ,20111111,000022,01.01.00,ANDREWJ.SOURCE.EXEC,
 COPY    ,20180620,17:26:37,ANDREWJ ,00000013,      ,20040128,000014,01.12.00,ANDREWJ.SOURCE.JCL,
 ZIPRSPT ,20180620,10:46:10,ANDREWJ ,00000024,      ,20180620,000024,01.00.00,ANDREWJ.SOURCE.JCL,
 T       ,20180619,16:12:01,ANDREWJ ,00000418,      ,20180619,000413,01.07.00,ANDREWJ.SOURCE.EXEC,
 MQGET   ,20180619,09:48:14,ANDREWJ ,00000008,      ,20070116,000020,01.12.00,ANDREWJ.SOURCE.JCL,
 ZALCS06 ,20180612,14:01:40,ANDREWJ ,00000072,      ,20180612,000072,01.00.00,ANDREWJ.SOURCE.JCL,
 USRCONVT,20180612,13:10:19,ANDREWJ ,00000064,      ,20180612,000064,01.01.00,ANDREWJ.SOURCE.EXEC,
 HSZ846  ,20180612,10:43:45,ANDREWJ ,00000133,      ,20180612,000133,01.00.00,ANDREWJ.SOURCE.JCL,
 USRCONS5,20180611,17:16:38,ANDREWJ ,00000049,      ,20180611,000049,01.00.00,ANDREWJ.SOURCE.JCL,
 USRCONS4,20180611,12:28:32,ANDREWJ ,00000289,      ,20180611,000188,01.03.00,ANDREWJ.SOURCE.JCL,
 DITOTMP ,20180611,09:59:59,ANDREWJ ,00000010,      ,20180611,000010,01.00.00,ANDREWJ.SOURCE.JCL,
